holiday_date,holiday_name
2020-01-01,New Year's Day
2020-01-25,Chinese New Year Day 1
2020-01-26,Chinese New Year Day 2
2020-01-27,Chinese New Year Day 2 (In Lieu)
2020-04-10,Good Friday
2020-05-01,Labour Day
2020-05-07,Vesak Day
2020-05-24,Hari Raya Puasa
2020-05-25,Hari Raya Puasa (In Lieu)
2020-07-31,Hari Raya Haji
2020-08-09,National Day
2020-08-10,National Day (In Lieu)
2020-11-14,Deepavali
2020-12-25,Christmas Day
2021-01-01,New Year's Day
2021-02-12,Chinese New Year Day 1
2021-02-13,Chinese New Year Day 2
2021-04-02,Good Friday
2021-05-01,Labour Day
2021-05-13,Hari Raya Puasa
2021-05-26,Vesak Day
2021-07-20,Hari Raya Haji
2021-08-09,National Day
2021-11-04,Deepavali
2021-12-25,Christmas Day
2022-01-01,New Year's Day
2022-02-01,Chinese New Year Day 1
2022-02-02,Chinese New Year Day 2
2022-04-15,Good Friday
2022-05-01,Labour Day
2022-05-02,Labour Day (In Lieu)
2022-05-03,Hari Raya Puasa
2022-05-15,Vesak Day
2022-05-16,Vesak Day (In Lieu)
2022-07-10,Hari Raya Haji
2022-07-11,Hari Raya Haji (In Lieu)
2022-08-09,National Day
2022-10-24,Deepavali
2022-12-25,Christmas Day
2022-12-26,Christmas Day (In Lieu)
2023-01-01,New Year's Day
2023-01-02,New Year's Day (In Lieu)
2023-01-22,Chinese New Year Day 1
2023-01-23,Chinese New Year Day 2
2023-01-24,Chinese New Year Day 1 (In Lieu)
2023-04-07,Good Friday
2023-04-22,Hari Raya Puasa
2023-05-01,Labour Day
2023-06-02,Vesak Day
2023-06-29,Hari Raya Haji
2023-08-09,National Day
2023-11-12,Deepavali
2023-11-13,Deepavali (In Lieu)
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-02-10,Chinese New Year Day 1
2024-02-11,Chinese New Year Day 2
2024-02-12,Chinese New Year Day 2 (In Lieu)
2024-03-29,Good Friday
2024-04-10,Hari Raya Puasa
2024-05-01,Labour Day
2024-05-22,Vesak Day
2024-06-17,Hari Raya Haji
2024-08-09,National Day
2024-10-31,Deepavali
2024-12-25,Christmas Day
2025-01-01,New Year's Day
2025-01-29,Chinese New Year Day 1
2025-01-30,Chinese New Year Day 2
2025-03-31,Hari Raya Puasa
2025-04-18,Good Friday
2025-05-01,Labour Day
2025-05-12,Vesak Day
2025-06-06,Hari Raya Haji
2025-08-09,National Day
2025-10-20,Deepavali
2025-12-25,Christmas Day
2026-01-01,New Year's Day
2026-02-17,Chinese New Year Day 1
2026-02-18,Chinese New Year Day 2
2026-03-20,Hari Raya Puasa
2026-04-03,Good Friday
2026-05-01,Labour Day
2026-05-27,Hari Raya Haji
2026-05-31,Vesak Day
2026-08-09,National Day
2026-08-10,National Day (In Lieu)
2026-11-08,Deepavali
2026-11-09,Deepavali (In Lieu)
2026-12-25,Christmas Day
